symbol,archetype,history_years,receivables_status,receivables_source_type,latest_rec_ratio,latest_dso,dso_3y_change,gap_3y,cash_conversion_3y,value_trap_status,compounder_class,decision
MSN,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
MSR,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
MST,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
MVN,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
MWG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
MZG,NORMAL_ENTERPRISE,4,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NAB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
NAF,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NAG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NBB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NBC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NCT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
NDN,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NHA,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
NHH,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
NKG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NLG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NNC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
NRC,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NSH,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NT2,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,POTENTIAL_COMPOUNDER,
NTL,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NTP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
NVB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
NVL,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
OCB,BANK,16,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
OCH,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
ODE,NORMAL_ENTERPRISE,7,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
OGC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
OIL,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ORS,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
PAC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
PAN,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PAT,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
PC1,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
PCH,NORMAL_ENTERPRISE,6,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
PDR,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PET,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PGC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
PHP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
PHR,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
PIV,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PLC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PLX,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
PNJ,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
POW,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
PPC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PPT,NORMAL_ENTERPRISE,7,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PSD,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PSI,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PTB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
PVB,NORMAL_ENTERPRISE,16,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PVC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PVD,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PVG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PVI,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PVP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
PVS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
PVT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
PXL,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
QCG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
QNS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
QTP,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,AVERAGE_BUSINESS,
REE,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
RYG,NORMAL_ENTERPRISE,5,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
S99,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
SAB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
SAM,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
SAS,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,WATCH,POTENTIAL_COMPOUNDER,
SBG,NORMAL_ENTERPRISE,6,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
SBS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
SBT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
SCG,NORMAL_ENTERPRISE,7,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
SCL,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
SCR,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
SCS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
SEA,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
SGP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
SGR,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
