symbol,archetype,history_years,data_readiness,economic_quality,earnings_durability,earnings_quality,balance_sheet,capital_allocation,dilution,accounting_consistency,critical_findings,high_findings,value_trap,compounder_class,decision_state
TIN,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,PASS,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TIP,NORMAL_ENTERPRISE,15,READY,WATCH,PASS,UNKNOWN,PASS,PASS,PASS,WATCH,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TIS,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,PASS,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TIX,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,WATCH,PASS,PASS,PASS,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TJC,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TKA,NORMAL_ENTERPRISE,9,READY,PASS,PASS,FAIL,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TKU,NORMAL_ENTERPRISE,10,READY,WATCH,WATCH,PASS,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TL4,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TLD,NORMAL_ENTERPRISE,12,READY,FAIL,WATCH,UNKNOWN,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TLG,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,0,CLEAR,POTENTIAL_COMPOUNDER,BUY
TLH,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,WATCH,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TLP,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TMB,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,FAIL,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TMC,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,WATCH,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TMG,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,WATCH,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TMP,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,COMPOUNDER,BUY
TMS,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,WATCH,PASS,PASS,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TMT,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,FAIL,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TMW,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TMX,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TN1,NORMAL_ENTERPRISE,9,READY,PASS,PASS,FAIL,PASS,PASS,WATCH,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TNA,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TNB,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,WATCH,WATCH,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TNC,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,FAIL,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TNG,NORMAL_ENTERPRISE,15,READY,PASS,PASS,UNKNOWN,FAIL,PASS,PASS,PASS,0,1,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TNH,NORMAL_ENTERPRISE,11,READY,PASS,WATCH,UNKNOWN,PASS,WATCH,PASS,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TNI,NORMAL_ENTERPRISE,12,READY,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TNP,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TNS,NORMAL_ENTERPRISE,10,READY,PASS,FAIL,PASS,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TNT,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,PASS,PASS,WATCH,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TNW,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TOP,NORMAL_ENTERPRISE,9,READY,FAIL,FAIL,FAIL,PASS,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TOS,NORMAL_ENTERPRISE,7,READY,PASS,PASS,UNKNOWN,WATCH,PASS,PASS,PASS,0,0,WATCH,POTENTIAL_COMPOUNDER,WAIT_FOR_MOS
TOT,NORMAL_ENTERPRISE,10,READY,WATCH,WATCH,PASS,WATCH,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TOW,NORMAL_ENTERPRISE,9,READY,WATCH,PASS,PASS,PASS,PASS,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TPB,BANK,15,READY,PASS,PASS,NOT_APPLICABLE,PASS,WATCH,WATCH,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TPC,NORMAL_ENTERPRISE,10,READY,FAIL,WATCH,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TPP,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,FAIL,PASS,WATCH,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TPS,NORMAL_ENTERPRISE,10,READY,PASS,PASS,WATCH,PASS,PASS,WATCH,PASS,0,0,WATCH,POTENTIAL_COMPOUNDER,WAIT_FOR_MOS
TQW,NORMAL_ENTERPRISE,8,READY,FAIL,PASS,WATCH,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TRA,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TRC,NORMAL_ENTERPRISE,15,READY,FAIL,PASS,UNKNOWN,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TRS,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,WATCH,WATCH,PASS,WATCH,PASS,0,0,WATCH,AVERAGE_BUSINESS,WAIT_FOR_MOS
TRT,NORMAL_ENTERPRISE,10,READY,WATCH,FAIL,PASS,FAIL,PASS,WATCH,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TRV,NORMAL_ENTERPRISE,2,INSUFFICIENT,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,0,2,HIGH_RISK,INSUFFICIENT_DATA,AVOID
TSA,NORMAL_ENTERPRISE,4,PARTIAL,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TSB,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,PASS,PASS,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TSC,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,PASS,WATCH,PASS,WATCH,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TSD,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TSG,NORMAL_ENTERPRISE,10,READY,PASS,PASS,FAIL,FAIL,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TSJ,NORMAL_ENTERPRISE,10,READY,FAIL,PASS,FAIL,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TST,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,FAIL,WATCH,PASS,PASS,0,4,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TT6,NORMAL_ENTERPRISE,3,PARTIAL,FAIL,PASS,PASS,WATCH,WATCH,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TTA,NORMAL_ENTERPRISE,9,READY,FAIL,PASS,UNKNOWN,PASS,PASS,PASS,PASS,0,1,HIGH_RISK,WEAK_BUSINESS,AVOID
TTB,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,FAIL,WATCH,WATCH,PASS,PASS,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TTC,NORMAL_ENTERPRISE,10,READY,WATCH,PASS,PASS,PASS,WATCH,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TTD,NORMAL_ENTERPRISE,10,READY,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,0,CLEAR,AVERAGE_BUSINESS,BUY
TTE,NORMAL_ENTERPRISE,10,READY,FAIL,FAIL,WATCH,WATCH,PASS,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
TTF,NORMAL_ENTERPRISE,15,READY,FAIL,FAIL,UNKNOWN,FAIL,WATCH,PASS,WATCH,0,3,HIGH_RISK,DETERIORATING_BUSINESS,AVOID
TTG,NORMAL_ENTERPRISE,9,READY,FAIL,FAIL,WATCH,PASS,WATCH,PASS,PASS,0,2,HIGH_RISK,WEAK_BUSINESS,AVOID
