symbol,archetype,balance_sheet_first_fy,balance_sheet_last_fy,balance_sheet_years,income_statement_first_fy,income_statement_last_fy,income_statement_years,cash_flow_first_fy,cash_flow_last_fy,cash_flow_years,canonical_fact_count,raw_fact_count,mapping_coverage_pct,unmapped_count,conflicted_count,valuation_core_ready,business_review_core_ready,value_trap_core_ready,history_band,notes
DLG,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DPG,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DPM,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DPR,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DRC,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DRH,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DRI,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DSE,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DSH,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DST,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DTD,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DVM,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DVN,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DVP,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DXG,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DXP,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
DXS,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
EIB,BANK,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ELC,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
EVF,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
EVG,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
EVS,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
F88,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FCN,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FID,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FIR,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FIT,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FMC,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FOC,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FOX,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FPT,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FRT,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
FTS,SECURITIES,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
G36,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
